model,manipuation_type,seed,total_num,mean,std,max,min,gamma_-0.1,gamma_-0.09,gamma_-0.08,gamma_-0.07,gamma_-0.06,gamma_-0.05,gamma_-0.04,gamma_-0.03,gamma_-0.02,gamma_-0.01,gamma_0,gamma_0.01,gamma_0.02,gamma_0.03,gamma_0.04,gamma_0.05,gamma_0.06,gamma_0.07,gamma_0.08,gamma_0.09,gamma_1.0
anet_frame_12_improv,temporal_contact_swap,0,"(184,)",-0.0012699516,0.029675426,0.10927318,-0.09193686,1.0,0.9945652173913044,0.9945652173913044,0.9891304347826086,0.9782608695652174,0.9456521739130436,0.907608695652174,0.8478260869565217,0.7771739130434783,0.6467391304347826,0.4402173913043478,0.3097826086956521,0.2119565217391304,0.1195652173913043,0.0760869565217391,0.0380434782608695,0.0217391304347826,0.0108695652173913,0.0108695652173913,0.0108695652173913,0.0
anet_frame_12_improv,temporal_action_swap,0,"(62,)",0.0044009117,0.039013658,0.13253018,-0.07323727,1.0,1.0,1.0,0.9838709677419356,0.9516129032258064,0.9193548387096774,0.8709677419354839,0.8225806451612904,0.7419354838709677,0.6451612903225806,0.5161290322580645,0.4193548387096774,0.2903225806451613,0.2258064516129032,0.1612903225806451,0.1129032258064516,0.064516129032258,0.064516129032258,0.032258064516129,0.0161290322580645,0.0
anet_frame_12_improv,neighborhood_same_entity,0,"(102,)",0.0032070212,0.032682296,0.10081528,-0.06575929,1.0,1.0,1.0,1.0,0.9901960784313726,0.9607843137254902,0.9117647058823528,0.8627450980392157,0.7843137254901961,0.6764705882352942,0.5,0.3333333333333333,0.2156862745098039,0.1666666666666666,0.1470588235294117,0.0980392156862745,0.0588235294117647,0.0490196078431372,0.0392156862745098,0.0196078431372549,0.0
anet_frame_12_improv,neighborhood_different_entity,0,"(35,)",0.0018723245,0.030742738,0.0885987,-0.06950463,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.8571428571428571,0.8,0.6285714285714286,0.4571428571428571,0.3714285714285714,0.3142857142857143,0.1428571428571428,0.1142857142857142,0.0571428571428571,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0,0.0
anet_frame_12_improv,counter_spatial,0,"(935,)",0.008342974,0.036737487,0.16338769,-0.11612241,0.9946524064171124,0.9925133689839571,0.9882352941176472,0.9850267379679144,0.9754010695187164,0.9561497326203208,0.9251336898395722,0.8705882352941177,0.813903743315508,0.7080213903743315,0.5754010695187166,0.4513368983957219,0.3304812834224599,0.241711229946524,0.174331550802139,0.1187165775401069,0.0834224598930481,0.0588235294117647,0.0288770053475935,0.0213903743315508,0.0
anet_frame_12_improv,counter_contact,0,"(1008,)",0.013175104,0.03893056,0.1475105,-0.15112352,0.9970238095238096,0.9950396825396826,0.9910714285714286,0.9831349206349206,0.9702380952380952,0.9543650793650794,0.9206349206349206,0.8829365079365079,0.8293650793650794,0.753968253968254,0.6418650793650794,0.5218253968253969,0.3978174603174603,0.2996031746031746,0.2232142857142857,0.1527777777777778,0.1091269841269841,0.0724206349206349,0.0515873015873015,0.0347222222222222,0.0
anet_frame_12_improv,counter_action,0,"(1168,)",0.01939173,0.04050147,0.19115049,-0.11202939,0.997431506849315,0.9931506849315068,0.990582191780822,0.9871575342465754,0.9794520547945206,0.9691780821917808,0.952054794520548,0.9023972602739726,0.8553082191780822,0.7791095890410958,0.6746575342465754,0.5702054794520548,0.4657534246575342,0.3621575342465753,0.2782534246575342,0.1986301369863013,0.1506849315068493,0.1121575342465753,0.0736301369863013,0.0522260273972602,0.0
anet_frame_12_improv,counter_attribute,0,"(818,)",0.016570251,0.04262621,0.19038323,-0.120046824,0.9951100244498776,0.9951100244498776,0.9938875305623472,0.988997555012225,0.9755501222493888,0.9498777506112468,0.921760391198044,0.8863080684596577,0.8251833740831296,0.7457212713936431,0.6430317848410758,0.5427872860635696,0.4229828850855746,0.3264058679706601,0.2506112469437653,0.1894865525672371,0.1418092909535452,0.1039119804400978,0.0794621026894865,0.0562347188264058,0.0
anet_meanp_improv,temporal_contact_swap,0,"(184,)",-0.0016916838,0.034740422,0.14059977,-0.16800717,0.9891304347826086,0.9836956521739132,0.967391304347826,0.967391304347826,0.9510869565217392,0.9402173913043478,0.9184782608695652,0.8641304347826086,0.7989130434782609,0.6956521739130435,0.4402173913043478,0.2880434782608695,0.1902173913043478,0.1195652173913043,0.0652173913043478,0.0489130434782608,0.0326086956521739,0.0217391304347826,0.0163043478260869,0.0163043478260869,0.0
anet_meanp_improv,temporal_action_swap,0,"(62,)",0.0057053664,0.03230309,0.08322449,-0.04987797,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516128,0.8548387096774194,0.7903225806451613,0.6935483870967742,0.532258064516129,0.4032258064516129,0.3225806451612903,0.2419354838709677,0.1612903225806451,0.0967741935483871,0.0806451612903225,0.032258064516129,0.0161290322580645,0.0,0.0
