model,manipuation_type,seed,total_num,mean,std,max,min,gamma_-0.1,gamma_-0.09,gamma_-0.08,gamma_-0.07,gamma_-0.06,gamma_-0.05,gamma_-0.04,gamma_-0.03,gamma_-0.02,gamma_-0.01,gamma_0,gamma_0.01,gamma_0.02,gamma_0.03,gamma_0.04,gamma_0.05,gamma_0.06,gamma_0.07,gamma_0.08,gamma_0.09,gamma_1.0
anet_frame_12,temporal_contact_swap,0,"(184,)",-0.003491041,0.043927427,0.16102858,-0.2033452,0.9728260869565216,0.967391304347826,0.9565217391304348,0.9510869565217392,0.9239130434782608,0.8913043478260869,0.875,0.8315217391304348,0.7336956521739131,0.5869565217391305,0.391304347826087,0.3206521739130434,0.2065217391304347,0.1413043478260869,0.108695652173913,0.0815217391304347,0.0543478260869565,0.0434782608695652,0.0380434782608695,0.0326086956521739,0.0
anet_frame_12,temporal_action_swap,0,"(62,)",0.009431565,0.044640318,0.11104402,-0.08679888,1.0,1.0,0.9838709677419356,0.9838709677419356,0.935483870967742,0.8870967741935484,0.8548387096774194,0.8387096774193549,0.7258064516129032,0.6935483870967742,0.5161290322580645,0.4193548387096774,0.4032258064516129,0.3548387096774194,0.3064516129032258,0.2258064516129032,0.1774193548387097,0.0806451612903225,0.0483870967741935,0.0161290322580645,0.0
anet_frame_12,neighborhood_same_entity,0,"(102,)",-0.00076733954,0.0403911,0.15653268,-0.08295083,1.0,1.0,0.9901960784313726,0.9803921568627452,0.931372549019608,0.8725490196078431,0.8529411764705882,0.7745098039215687,0.6764705882352942,0.5784313725490197,0.4411764705882353,0.3627450980392157,0.3039215686274509,0.2058823529411764,0.1274509803921568,0.0686274509803921,0.0490196078431372,0.0294117647058823,0.0294117647058823,0.0294117647058823,0.0
anet_frame_12,neighborhood_different_entity,0,"(35,)",-0.006601088,0.040618643,0.06866661,-0.12164858,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.8857142857142857,0.7714285714285715,0.7428571428571429,0.6857142857142857,0.5714285714285714,0.3714285714285714,0.3142857142857143,0.2285714285714285,0.2,0.1428571428571428,0.1428571428571428,0.0571428571428571,0.0,0.0,0.0,0.0
anet_frame_12,counter_spatial,0,"(935,)",0.0026767878,0.04607593,0.1877109,-0.18661103,0.983957219251337,0.9754010695187164,0.9657754010695188,0.9497326203208556,0.9294117647058824,0.8941176470588236,0.8556149732620321,0.7957219251336899,0.7240641711229947,0.6331550802139038,0.506951871657754,0.3914438502673796,0.2973262032085561,0.2363636363636363,0.1754010695187166,0.1315508021390374,0.0887700534759358,0.0684491978609625,0.0470588235294117,0.0385026737967914,0.0
anet_frame_12,counter_contact,0,"(1008,)",0.0078522945,0.04656184,0.20242882,-0.14981247,0.9851190476190476,0.9761904761904762,0.9672619047619048,0.9593253968253967,0.9384920634920636,0.9117063492063492,0.8680555555555556,0.816468253968254,0.7609126984126984,0.6746031746031746,0.5505952380952381,0.4513888888888889,0.3640873015873015,0.2966269841269841,0.2212301587301587,0.1587301587301587,0.115079365079365,0.0922619047619047,0.0575396825396825,0.0486111111111111,0.0
anet_frame_12,counter_action,0,"(1168,)",0.015815327,0.046242636,0.19195062,-0.16489884,0.9922945205479452,0.9871575342465754,0.9828767123287672,0.976027397260274,0.9597602739726028,0.9323630136986302,0.910958904109589,0.8715753424657534,0.8090753424657534,0.7337328767123288,0.6301369863013698,0.5299657534246576,0.4229452054794521,0.3407534246575342,0.2628424657534247,0.2020547945205479,0.1506849315068493,0.1130136986301369,0.0839041095890411,0.0573630136986301,0.0
anet_frame_12,counter_attribute,0,"(818,)",0.012919006,0.051762663,0.21741885,-0.16598359,0.9853300733496332,0.9792176039119804,0.9706601466992664,0.9547677261613692,0.9339853300733496,0.908312958435208,0.8691931540342298,0.8215158924205379,0.7603911980440098,0.6797066014669927,0.5880195599022005,0.5024449877750611,0.4046454767726161,0.3190709046454767,0.2603911980440098,0.1968215158924205,0.1491442542787286,0.1246943765281173,0.1014669926650366,0.0819070904645476,0.0
anet_vit_4,temporal_contact_swap,0,"(184,)",0.001022234,0.046115838,0.13556172,-0.22766984,0.9782608695652174,0.967391304347826,0.9619565217391304,0.9402173913043478,0.9184782608695652,0.907608695652174,0.8695652173913043,0.8152173913043478,0.7663043478260869,0.6847826086956522,0.4782608695652174,0.391304347826087,0.2717391304347826,0.1902173913043478,0.125,0.092391304347826,0.0597826086956521,0.0543478260869565,0.0326086956521739,0.0217391304347826,0.0
anet_vit_4,temporal_action_swap,0,"(62,)",0.009489029,0.04291434,0.10798469,-0.077120826,1.0,1.0,1.0,0.9838709677419356,0.935483870967742,0.8870967741935484,0.8709677419354839,0.8548387096774194,0.7419354838709677,0.6612903225806451,0.5806451612903226,0.4677419354838709,0.3548387096774194,0.2903225806451613,0.2096774193548387,0.1774193548387097,0.1129032258064516,0.0967741935483871,0.0806451612903225,0.064516129032258,0.0
